I_D,FLAG_TSUNAMI,YEAR,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
1359,,1759,,MEXICO,19.5,-102.3,150,,,,,,,,,,,,
1360,Tsu,1759,6.4,ISRAEL,33,35.5,140,,,,,,,,2,,,,
1362,,1759,,LEBANON,33.3,35.7,140,,,,,,,,,,,,
1363,,1760,,CUBA,20,-75.5,90,,,,,,,,,,,,
6035,Tsu,1761,8.5,PORTUGAL,34.5,-13,130,,,,,,,,,,,,
1364,,1761,6,CHINA,24.4,102.5,30,120,3,,,120,3,,3,1900,4,,
1365,,1761,6,CHINA,24.4,102.5,30,50,1,,,30,1,,2,960,3,,
1366,,1761,7.7,RUSSIA,50,90,40,,,,,,,,,,,,
1368,Tsu,1762,,BANGLADESH,22,92,60,,3,,,,,,3,,,,
5909,Tsu,1762,6.6,JAPAN,38.1,138.7,30,,2,,,,,,1,26,1,,
1369,Tsu,1763,7.4,JAPAN,40.5,143.5,30,,,,,,,,2,2,1,,
5910,Tsu,1763,7.8,JAPAN,41,142.5,30,,,,,,,,2,,2,,
1370,Tsu,1763,7.1,JAPAN,40.7,142,30,,3,,,,,,3,,3,,
1372,,1763,6.2,HUNGARY,47.7,18.2,110,,,,,,,,,,,,
6036,Tsu,1763,,INDONESIA,-6,130,170,7,1,,,,,,2,,3,,
1373,,1763,6.5,CHINA,24.3,102.8,30,1000,1,,,,,,4,4500,4,,
10205,,1764,6.5,HONDURAS,15.91,-85.96,90,,,,,,,,1,108,3,,
7938,Tsu,1764,,PORTUGAL,38.7,-9.2,130,,,,,,,,,,,,
1374,,1765,,EL SALVADOR,13.7,-89.2,100,50,1,,,,3,,2,,,,
1375,,1765,6.5,CHINA,34.8,105,30,2068,4,,,,,,4,74748,4,,
10015,Tsu,1765,,CHILE,-33.05,-71.617,160,,,,,,,,,,,,
1378,Tsu,1766,6.9,JAPAN,40.9,140.7,30,1700,4,,,,,,3,8200,4,,
1379,Tsu,1766,,TURKEY,41,29,140,,,,,,,,,,,,
1380,,1766,,IRAN,27.7,54.3,140,,,,,,,,,,,,
1381,Tsu,1766,6.8,CUBA,19.9,-76.1,90,,,,,,,,,,,,
1382,,1766,,COLOMBIA,3.7,-76.3,160,,,,,,,,,,,,
1383,,1766,,GREECE,38,20.5,130,,,,,,,,,,,,
1384,,1766,,MARTINIQUE,14.4,-61.1,90,,,,,,,,,,,,
1387,Tsu,1766,7.5,VENEZUELA,10.47,-64.17,90,,,,,,,,,,,,
